ID,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0
5008804,,,,,,,,,,,,,,,,X,0,1,C,C,C,C,C,C,C,C,C,C,C,C,C
5008805,,,,,,,,,,,,,,,,,X,0,1,C,C,C,C,C,C,C,C,C,C,C,C
5008806,,X,0,X,X,X,0,X,X,X,0,X,X,X,X,X,X,0,X,0,X,0,0,X,C,C,C,C,C,C,C
5008808,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,0,X,0
5008809,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,
5008810,,,,,X,X,0,X,0,0,0,X,0,X,0,X,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008811,0,X,0,X,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008812,,,,,,,,,,,X,0,0,0,0,0,0,0,0,0,0,0,0,0,X,X,0,,,,
5008813,,,,,,,,,,,,,,,X,0,0,0,0,0,0,0,0,0,0,0,0,0,X,X,0
5008814,,,,,,,,,,,,,,X,0,0,0,0,0,0,0,0,0,0,0,0,0,X,X,0,
5008815,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
5008819,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,
5008820,,,,,,,,,,,,,,,X,X,X,X,X,X,0,X,X,,,,,,,,
5008821,,,,,,,,,,,,,,,,,,,,,,,X,0,0,0,X,0,0,0,X
5008822,,,,,,,,,X,X,X,X,X,X,0,X,X,,,,,,,,,,,,,,
5008823,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,X,,,
5008824,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
5008825,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008826,0,0,1,1,0,1,1,1,0,0,1,1,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
5008827,1,1,2,1,2,3,4,5,5,5,5,5,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008830,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008831,,,,,,,,,,,,X,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,C,C,C,C
5008832,0,0,0,0,0,0,0,1,0,0,1,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
