ID,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0
5008834,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008835,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5008836,,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,
5008837,,,,,,,,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,
5008838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,
5008839,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,C,C,C,C
5008840,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008841,,,,,,,,,,,,,,,,,,,,,,,,,,,X,0,0,0,0
5008842,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
5008843,,0,0,0,0,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008844,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,C,C,C,C,,,,,,,,,,,
5008846,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
5008847,0,0,0,0,0,0,0,0,0,0,C,C,C,C,C,C,C,,,,,,,,,,,,,,
5008850,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008851,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
5008852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5008853,0,0,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,
5008855,,,X,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008856,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
5008857,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5008858,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,C
5008859,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
5008860,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,0,0,0
5008861,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,0,0,0
5008862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,0,0
5008863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
5008864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,0,0
5008865,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
5008866,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
5008867,,,,,,X,0,0,X,,,,,,,,,,,,,,,,,,,,,,
5008868,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008870,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
5008872,,,,,,,,,,,,,,,,,,,,,X,X,1,0,0,0,0,0,0,0,0
5008873,,,,,,,,,,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008874,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008875,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008876,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008877,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,C,C
5008879,,,,,,,,,,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008880,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,C,C,C,C,C
5008881,,,,,,,,,,,,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008882,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,
5008884,X,X,X,X,X,X,X,X,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008888,,,,,,,,,,,,,,,,,,,,X,0,0,0,0,X,,,,,,
5008889,,,,,,,,,,,,,,,,,,,,,,,,,,,X,0,X,0,0
5008891,,,,,,,,,,,,,,,,,,,,,,,,0,C,C,C,C,C,C,C
5008892,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,
5008893,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008894,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008895,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008896,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,
5008897,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,
5008898,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,
5008899,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,
5008900,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,
5008901,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
5008902,,,,X,0,0,0,0,0,0,0,0,1,0,0,C,C,C,C,C,C,C,C,C,,,,,,,
5008903,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
5008904,,,,,X,0,0,0,0,0,0,0,0,1,0,0,C,C,C,C,C,C,C,C,C,,,,,,
5008905,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,
5008906,,,,,,,X,0,0,0,0,0,0,0,0,1,0,0,C,C,C,C,C,C,C,C,C,,,,
5008907,,,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,
5008908,,,,,,,,,X,0,0,0,0,0,0,0,0,1,0,0,C,C,C,C,C,C,C,C,C,,
5008909,,,,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,
5008910,,,,,,,,,,X,0,0,0,0,0,0,0,0,1,0,0,C,C,C,C,C,C,C,C,C,
5008911,,,,,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,
5008912,,,,,,,,,,,X,0,0,0,0,0,0,0,0,1,0,0,C,C,C,C,C,C,C,C,C
5008913,,,,,,,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,
5008914,,,,,,,,,,,,,X,0,0,0,0,0,0,0,0,1,0,0,C,C,C,C,C,C,C
5008915,,,,,,,,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,
5008916,,,,,,,,,,,,,,X,0,0,0,0,0,0,0,0,1,0,0,C,C,C,C,C,C
5008917,,,,,,,,,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,
5008918,,,,,,,,,,,,,,,X,0,0,0,0,0,0,0,0,1,0,0,C,C,C,C,C
5008919,,,,,,,,,,,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008920,,,,,,,,,,,,,,,,X,0,0,0,0,0,0,0,0,1,0,0,C,C,C,C
5008921,,,,,,,,,,,,,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C,C
5008922,,,,,,,,,,,,,,,,,,X,0,0,0,0,0,0,0,0,1,0,0,C,C
5008923,,,,,,,,,,,,,,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C
5008924,,,,,,,,,,,,,,,,,,,X,C,C,C,C,C,C,C,C,C,C,C,C
5008925,,,,,,,,,,,,,,,,,,,0,C,C,C,C,C,C,C,C,C,C,C,C
5008926,,,,,,,,,,,,,,,,,,,,X,0,0,0,0,0,0,0,0,1,0,0
5008927,,,,,,,,,,,,,,,,,,,,,,0,C,C,C,C,C,C,C,C,C
5008928,,,,,,,,,,,,,,,,,,,,,,X,0,0,0,0,0,0,0,0,1
5008929,,,,,,,,,,,,,,,,,,,,,,,,0,C,C,C,C,C,C,C
5008930,,,,,,,,,,,,,,,,,,,,,,,,,X,0,0,0,0,0,0
5008931,,,,,,,,,,,,,,,,,,,,,,,,,,0,C,C,C,C,C
5008932,,,,,,,,,,,,,,,,,,,,,,,,,,X,0,0,0,0,0
5008933,,,,,,,,,,,,,,,,,,,,,,,,,,0,C,C,C,C,C
5008934,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C
5008935,,,,,,,,,,,,,,,,,,,,,,,,,,,0,C,C,C,C
5008936,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C
5008937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,C
5008938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C
5008939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
5008940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,C
5008941,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C
5008942,1,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5008943,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5008944,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,X,,,,,,,,
5008945,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,X,,,,,,,,,,,,,,,
5008947,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X
5008948,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,
5008949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
5008950,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X
5008951,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008952,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,
5008953,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5008954,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
5008955,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
5008956,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008957,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
5008958,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
5008959,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,C
5008960,,,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008962,,,,,X,0,0,0,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008963,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008966,,,,,,,,,,,,,,,,X,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5008967,,,,,,,,,,X,0,0,X,0,0,0,X,X,X,0,X,0,X,0,X,0,0,0,0,0,0
5008973,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
5008975,0,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5008976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
5008977,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008978,1,0,0,0,0,1,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,
5008979,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5008980,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,
5008981,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
5008984,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,C,C
5008986,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
5008987,,,,,,,,,,,,,,,,,,,,,0,0,0,C,C,C,C,C,C,C,C
5008988,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5008991,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,,
5008992,,,,,,,,,,,,,,,,,,,,,,,,,X,0,C,C,C,C,C
5008993,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008994,,,,,,,,,,,,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008995,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,
5008998,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
5008999,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
5009000,,,,,,,,,0,0,0,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009005,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5009008,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,X,,,
5009009,X,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,,,,
5009010,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,X,,,,,,
5009012,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,0,0,0
5009014,0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5009016,,,,,,,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009020,0,0,0,0,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,
5009022,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,
5009023,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009024,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,C,C,C
5009025,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009027,,,,,,,,,,X,X,0,X,0,0,0,0,0,0,X,0,0,X,0,X,0,0,0,X,0,0
5009028,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,X,,,,,,,
5009029,,,,,,,,,,,,,,,,X,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009031,,,,,,,,,,,,,,,,,,X,0,0,X,X,X,X,X,X,X,X,X,C,C
5009032,,,,,,,,,,,,,,,,,,X,0,0,X,X,X,X,X,X,X,X,X,C,C
5009033,,,,,,,,,,,,,,,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X
5009034,0,0,0,0,0,0,0,0,0,0,C,C,C,C,C,C,C,,,,,,,,,,,,,,
5009035,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,X,X
5009036,,,,,,,,,,,,,X,0,0,X,0,0,X,0,C,C,C,C,C,C,C,C,C,C,C
5009037,,,,,,,,,,,,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5009038,,,,,,,,,,,,,,,,,,,0,0,0,0,X,X,X,X,X,X,X,X,X
5009039,,,,,,,,,,,,,,,,,,,,,,,X,0,X,C,C,C,C,C,C
5009040,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,0,X,C
5009042,,,,,,,,,,,0,X,X,0,0,X,0,X,0,X,0,X,0,X,0,X,X,X,X,X,X
5009043,,,,,,,,,,,0,0,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,X,,
5009044,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,,,,
5009045,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,,,
5009046,,,,,,,,,,,,,,,,,,,,,,,,X,X,0,0,X,0,X,0
5009047,,,,,,,,,,,,,,,,,,,,X,0,0,0,0,0,0,0,0,0,0,0
5009050,0,0,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,
5009051,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,
5009052,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009056,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
5009057,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
5009058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
5009060,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
5009062,X,X,X,X,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,
5009063,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,0,C,C,C,C,C,C
5009064,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
5009065,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
5009066,,,,,,,,,,,,,,,,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009068,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,0,C
5009069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009070,X,X,X,X,X,X,X,X,X,X,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,
5009071,,,,,,,,,,,X,0,X,0,0,0,X,X,0,0,X,0,C,C,C,C,C,C,C,C,C
5009072,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,
5009074,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009075,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,,,,,
5009078,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009079,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009080,,,,,,,,,,,,,,,,0,0,1,1,1,1,0,0,0,0,0,0,C,C,C,C
5009081,,,,,,,,,,,,0,X,X,0,0,X,0,X,0,X,0,0,0,0,0,0,X,,,
5009083,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,
5009084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5009088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,
5009089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009090,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009092,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1
5009094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
5009095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
5009096,,,,,,,X,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009097,0,0,0,0,0,0,0,0,0,0,0,X,,,,,,,,,,,,,,,,,,,
5009098,,,,,,,,,,,,,,X,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C
5009099,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5009100,,,,X,X,X,X,X,0,X,0,0,0,X,X,0,0,X,0,X,0,X,X,X,X,0,0,X,X,X,X
5009103,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009104,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5009105,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5009106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5009108,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
5009109,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C
5009110,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0
5009116,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,
5009117,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009123,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009124,,,,,,0,0,0,0,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,
5009125,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009126,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,
5009127,,,,,,,,,X,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009128,,,,,,,,,,,,,,,,,0,0,0,0,C,C,C,C,C,C,C,C,C,,
5009129,,,,,,,,,,,,,,,,,,,,0,0,0,0,C,C,C,C,C,C,C,C
5009130,,,,,,,,,X,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009131,,,,,,,,0,0,0,0,C,C,C,C,C,C,C,C,C,,,,,,,,,,,
5009133,,,,,,,,,,,,,,,X,0,X,X,X,0,X,0,C,C,C,C,C,C,C,C,C
5009134,,,,,,,,,,,,,,,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C
5009136,,,,,,,,,,,,,,,,0,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C
5009137,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,X,X,,
5009138,,,,,,,,,0,X,X,X,0,X,0,X,0,X,1,0,X,X,X,X,X,,,,,,
5009139,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,X
5009140,,,,,,,,,,,,,0,0,0,0,0,0,0,0,X,X,,,,,,,,,
5009141,0,0,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009142,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,C,C,C,C
5009143,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,C,C
5009144,,,,,,,,,,,,,,,,X,X,X,X,X,0,0,0,0,0,0,,,,,
5009145,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
5009146,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,
5009147,,,,,,,,,,,,,,,,,,,0,0,0,0,0,C,C,C,C,C,C,C,C
5009149,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,C,C,C
5009150,,,,,,,,,,,,,,0,0,1,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009151,,0,0,0,0,X,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009152,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009153,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,
5009154,,,0,0,0,0,X,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009155,,,,0,0,0,0,X,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5009156,,,,,,,,,,,,,,0,0,0,0,X,C,C,C,C,C,C,C,C,C,C,C,C,C
5009157,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,
